Restaurant Name,Cuisine,Rating,Number of Ratings,Average Price,Number of Offers,Offer Name,Area,Pure Veg,Location
Hot Pizza,"Pizzas, Chinese",3.4,,450,3,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Daddy Plz Pizza,Pizzas,2.7,,150,4,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹550, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,Yes,Agra
Daddy Plz,Pizzas,4.3,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Cheesy Bees,"Pizzas, Chinese",3.6,,300,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Khandari,Yes,Agra
The Untold Stories,"Pastas, Pizzas",4.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
Freaky Burger,Pizzas,3.6,,250,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
Tirupati'S Dosa Factory,"South Indian, Pizzas",4.1,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Divyanshi Fast Food Center,"Pizzas, Pastas",3.1,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
Star Ultimate Pizza,"Pizzas, Pastas",3.6,,300,4,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹199, 40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,No,Agra
Pizza Pasta Day,"Pizzas, Italian",4.3,,300,2,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shaganj,Yes,Agra
Shay Hub,"Pizzas, Pastas",3.8,,200,3,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kamla Nagar,Yes,Agra
Pizza Star - The Italian Food Corner,"Pizzas, Fast Food",3.1,,300,2,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shahganj,Yes,Agra
Oh Agra Cafe,"Indian, Pizzas",3.3,,270,3,"FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
15% OFF UPTO ₹100
USE JUMBOABOVE ₹375, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Chicago Pizza,"Pizzas, Fast Food",4.3,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",sikandara,No,Agra
Ratan Pizza,"Pizzas, Fast Food",3.6,,1000,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,No,Agra
The Mud Shakes,"Beverages, Pizzas",3.9,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Kings Cafe,"Pizzas, Beverages",3.9,,230,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Old Vijay Nagar,No,Agra
B & B Restro,"Pizzas, South Indian",4.4,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,Yes,Agra
Bistro OG,"Beverages, Pizzas",4.5,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,Yes,Agra
The Tiny Bakery,"Bakery, Pizzas",3.7,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Agra Cantt,Yes,Agra
Unique Vada Pav,"Snacks, Pizzas",4.1,,300,5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
25% OFF UPTO ₹120
USE JUMBOABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Agra
Big Crust Pizza,"Pizzas, Snacks",4.3,,450,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Khandari,No,Agra
Pizza & Bunns,"Pizzas, Fast Food",4.4,,320,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tajganj,No,Agra
La Pino'Z Pizza,"Pizzas, Pastas",4.2,,150,4,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹500, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹699, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹400",PDPU,Yes,Ahmedabad
Huber & Holly,"Pizzas, Beverages",3.8,,1000,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
The Fusion Pizza,"Pizzas, Fast Food",4.1,,200,5,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE STEALDEAL150ABOVE ₹299, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Airport Gandhinagar Highway,Yes,Ahmedabad
Puffizza,"Pizzas, Snacks",4.1,,400,2,"FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹800, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhat,Yes,Ahmedabad
Shakti - The Sandwich Shop,"Snacks, Pizzas",3.7,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kudasan,Yes,Ahmedabad
La Milano Pizzeria,"Italian, Pizzas",4.3,,400,4,"FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹249, 40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 30% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhat,Yes,Ahmedabad
Pizza Hut,Pizzas,3.9,,300,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,No,Ahmedabad
Domino'S Pizza,"Pizzas, Italian",4.3,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Motera,No,Ahmedabad
Western Pizza Hub,"Pizzas, Snacks",4.4,,300,5,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹150 OFF
USE STEALDEAL150ABOVE ₹299, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Olio - The Wood Fired Pizzeria,"Pizzas, Fast Food",4.2,,300,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",NR.Auda Garden,No,Ahmedabad
Juno'S Pizza - The Thin Crust Pizzeria,"Pizzas, Fast Food",4.2,,300,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹449, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",NR.Auda Garden,Yes,Ahmedabad
Starboy Pizza & Shakes,"Pizzas, Italian",4.3,,300,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 40% OFF
USE PARTYABOVE ₹700, SAVE BIG
50% OFF UPTO ₹250
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,No,Ahmedabad
Crusto'S - Cheese Burst Pizza,"Pizzas, Fast Food",4.3,,300,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",NR.Auda Garden,Yes,Ahmedabad
Winners Pizza (Fresh Dough),"Pizzas, Italian",4.4,,300,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bodakdev,Yes,Ahmedabad
WTF! Pizza'S & More,"Italian, Pizzas",4.3,,250,2,"FLAT 50% OFF
NO CODE REQUIRED, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vastrapur,Yes,Ahmedabad
New Freeze Land,"Fast Food, Pizzas",4.3,,450,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Twisted Toppings,"Indian, Pizzas",4.3,,200,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹749, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ambawadi,Yes,Ahmedabad
Martino'Z Pizza - Navrangpura,"Pizzas, Pastas",3.9,,250,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹449, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Navrangpura,Yes,Ahmedabad
Jasuben Shah Old Pizza,"Pizzas, American",4.3,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
Shiva'S Coffee Bar & Snacks,"Pizzas, Beverages",4.2,,250,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹600, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhinagar,Yes,Ahmedabad
Joyful Pizza,"Pizzas, Italian",4.1,,300,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bodakdev,No,Ahmedabad
Hocco Eatery,"North Indian, Pizzas",3.8,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Pizza Zone,"Pizzas, Italian",4.1,,450,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhat,Yes,Ahmedabad
US Pizza,"Pizzas, Fast Food",4.5,,500,4,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT 10% OFF
USE TRYNEWABOVE ₹149",Chandkheda,Yes,Ahmedabad
Green Dot Pizza,"Pizzas, Italian",4.1,,300,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bodakdev,Yes,Ahmedabad
Modi Sandwich & Pizza,"Pizzas, Continental",3.9,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Maninagar,No,Ahmedabad
Firangi Bake,"Pizzas, Pastas",4.4,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,No,Ahmedabad
London Yard Pizza,"Pizzas, Italian",3.8,,500,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Pizza Park,"Pizzas, Desserts",4.3,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhinagar,Yes,Ahmedabad
New Karnavati Fast Food,"Fast Food, Pizzas",3.7,,70,2,"FLAT 15% OFF
NO CODE REQUIRED, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",nava vadaj,Yes,Ahmedabad
Rasila'S Kitchen,"Beverages, Pizzas",3.7,,500,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bodakdev,No,Ahmedabad
RP'S Pizzeria,"Pizzas, Italian-American",4.1,,400,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹700, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhinagar,Yes,Ahmedabad
Pizza Never Lies,"Pizzas, Italian",3.6,,300,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bodakdev,No,Ahmedabad
Martino'Z Pizza - Gota,"Pizzas, Pastas",4.4,,250,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹449, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
Fastbuzz Foods,"Chinese, Pizzas",4.2,,400,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹499, SAVE BIG
50% OFF UPTO ₹250
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Drink Eat Fun,"Pizzas, Pastas",3.9,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Motera,Yes,Ahmedabad
Kai Kabila Pizza Hub,Pizzas,4.2,,250,3,"FLAT 10% OFF
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹749, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Maninagar,No,Ahmedabad
Ms Food,"Fast Food, Pizzas",4.2,,300,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹350, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhinagar,Yes,Ahmedabad
Junk Station,"Pizzas, Fast Food",3.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bapunagar,Yes,Ahmedabad
Drizzle'S Pizza,"Pizzas, Pastas",4.5,,300,4,"FLAT DEAL
FLAT ₹150 OFF
USE STEALDEAL150ABOVE ₹299, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Radhe Square,Yes,Ahmedabad
Shambhu'S Coffee Bar,"Beverages, Pizzas",4.9,,300,2,"FLAT 20% OFF
NO CODE REQUIRED, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Creamoholic Cafe,"Pizzas, Burgers",4.9,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
Bhagyesh Fast Food,Pizzas,3.5,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Cafe Yumsss,"Italian, Pizzas",4.3,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
Maharaj Sandwich & Pizza,"Pizzas, Street Food",4.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sabarmati,Yes,Ahmedabad
Munchane,"Pizzas, Pastas",3.5,,200,5,"50% OFF UPTO ₹100
USE SPECIALSON SELECT ITEMS, 50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1300, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479",Chandkheda,Yes,Ahmedabad
Estrella De Mar,"Beverages, Pizzas",3.3,,150,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",VaishnoDevi Circle,No,Ahmedabad
Cheesy Crazy Cafe,"Indian, Pizzas",4.6,,200,4,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹1000, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Pizza Lovers,Pizzas,3.5,,450,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ranip,Yes,Ahmedabad
Real Paprika,"Pizzas, North Indian",4.0,,500,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
William John'S Pizza,Pizzas,3.2,,200,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhinagar,Yes,Ahmedabad
The Hidden Cafe,"Beverages, Pizzas",2.9,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ghatlodia,Yes,Ahmedabad
The Tea Factory,"Fast Food, Pizzas",5.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Pomo'S Pizza,"Pizzas, Italian",3.6,,200,3,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chandkheda,Yes,Ahmedabad
Heaven Pizzeria,"Pizzas, Snacks",3.3,,5,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
The Sandwichian,"Fast Food, Pizzas",4.3,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
Kaafeela,"Cafe, Pizzas",4.6,,200,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, SAVE BIG
20% OFF UPTO ₹120
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gota,Yes,Ahmedabad
1944 The Hocco Kitchen,"North Indian, Pizzas",4.3,,1200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sargasan,Yes,Ahmedabad
Oshiv Food Point,"Fast Food, Pizzas",3.7,,150,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
Shree Sagar Sandwich Pizza,"Fast Food, Pizzas",3.7,,200,5,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 50% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
50% OFF UPTO ₹250
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vastrapur,Yes,Ahmedabad
Momo Dil Se Re,"Fast Food, Pizzas",4.7,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",GOTA,Yes,Ahmedabad
